c_f  c_g  h  f.x  f.y  g.x  g.y
0  0  #  #  #  #  #
0  1  #  #  #  #  #
0  2  #  #  #  1  #
0  3  #  #  #  1  10
0  4  1  #  #  1  10
0  5  1  #  #  1  10
0  7  1  #  #  1  10
0  8  1  #  #  0  10
0  9  1  #  #  0  7
0  10  1  #  #  6  7
0  11  1  #  #  6  7
0  12  1  #  #  6  7
0  18  1  #  #  6  7
1  18  1  #  #  6  7
2  18  1  7  #  6  7
3  18  1  7  7  6  7
4  18  4  7  7  6  7
8  18  4  7  7  6  7
12  18  4  7  7  6  7
1  12  1  #  #  6  7
1  11  1  #  #  6  7
1  10  1  #  #  6  7
1  9  1  #  #  0  7
1  8  1  #  #  0  10
1  7  1  #  #  1  10
1  5  1  #  #  1  10
1  4  1  #  #  1  10
1  3  #  #  #  1  10
1  2  #  #  #  1  #
1  1  #  #  #  #  #
1  0  #  #  #  #  #
2  12  1  7  #  6  7
2  11  1  7  #  6  7
2  10  1  7  #  6  7
2  9  1  7  #  0  7
2  8  1  7  #  0  10
2  7  1  7  #  1  10
2  5  1  7  #  1  10
2  4  1  7  #  1  10
2  3  #  7  #  1  10
2  2  #  7  #  1  #
2  1  #  7  #  #  #
2  0  #  7  #  #  #
3  12  1  7  7  6  7
3  11  1  7  7  6  7
3  10  1  7  7  6  7
3  9  1  7  7  0  7
3  8  1  7  7  0  10
3  7  1  7  7  1  10
3  5  1  7  7  1  10
3  4  1  7  7  1  10
3  3  #  7  7  1  10
3  2  #  7  7  1  #
3  1  #  7  7  #  #
3  0  #  7  7  #  #
4  12  4  7  7  6  7
4  11  4  7  7  6  7
4  10  4  7  7  6  7
4  9  4  7  7  0  7
4  8  4  7  7  0  10
4  7  4  7  7  1  10
4  5  4  7  7  1  10
4  4  4  7  7  1  10
4  3  4  7  7  1  10
4  4  1  7  7  1  10
4  5  1  7  7  1  10
4  7  1  7  7  1  10
4  8  1  7  7  0  10
4  9  1  7  7  0  7
4  10  1  7  7  6  7
4  11  1  7  7  6  7
4  12  1  7  7  6  7
4  18  1  7  7  6  7
5  18  1  7  7  6  7
7  18  1  7  7  6  7
8  18  1  2  7  6  7
12  18  1  2  7  6  7
4  2  4  7  7  1  #
4  1  4  7  7  #  #
4  0  4  7  7  #  #
8  12  4  7  7  6  7
5  12  1  7  7  6  7
8  11  4  7  7  6  7
5  11  1  7  7  6  7
8  10  4  7  7  6  7
5  10  1  7  7  6  7
8  9  4  7  7  0  7
5  9  1  7  7  0  7
8  8  4  7  7  0  10
5  8  1  7  7  0  10
8  7  4  7  7  1  10
5  7  1  7  7  1  10
8  5  4  7  7  1  10
5  5  1  7  7  1  10
8  4  4  7  7  1  10
5  4  1  7  7  1  10
8  3  4  7  7  1  10
8  4  1  7  7  1  10
8  5  1  7  7  1  10
8  7  1  7  7  1  10
8  8  1  7  7  0  10
8  9  1  7  7  0  7
8  10  1  7  7  6  7
8  11  1  7  7  6  7
8  12  1  7  7  6  7
8  18  1  7  7  6  7
12  18  1  7  7  6  7
8  2  4  7  7  1  #
8  1  4  7  7  #  #
8  0  4  7  7  #  #
7  12  1  7  7  6  7
7  11  1  7  7  6  7
7  10  1  7  7  6  7
7  9  1  7  7  0  7
7  8  1  7  7  0  10
7  7  1  7  7  1  10
7  5  1  7  7  1  10
7  4  1  7  7  1  10
8  12  1  2  7  6  7
8  11  1  2  7  6  7
8  10  1  2  7  6  7
8  9  1  2  7  0  7
8  8  1  2  7  0  10
8  7  1  2  7  1  10
8  5  1  2  7  1  10
8  4  1  2  7  1  10
12  12  4  7  7  6  7
12  12  1  2  7  6  7
12  12  1  7  7  6  7
12  11  4  7  7  6  7
12  11  1  2  7  6  7
12  11  1  7  7  6  7
12  10  4  7  7  6  7
12  10  1  2  7  6  7
12  10  1  7  7  6  7
12  9  4  7  7  0  7
12  9  1  2  7  0  7
12  9  1  7  7  0  7
12  8  4  7  7  0  10
12  8  1  2  7  0  10
12  8  1  7  7  0  10
12  7  4  7  7  1  10
12  7  1  2  7  1  10
12  7  1  7  7  1  10
12  5  4  7  7  1  10
12  5  1  2  7  1  10
12  5  1  7  7  1  10
12  4  4  7  7  1  10
12  4  1  2  7  1  10
12  4  1  7  7  1  10
12  3  4  7  7  1  10
12  2  4  7  7  1  #
12  1  4  7  7  #  #
12  0  4  7  7  #  #
